participant_id,previs_bar_geo,previs_bar_icon,previs_bar_color,previs_pie_geo,previs_pie_icon,previs_pie_color
agosyvi,3.888888888888889,5.0,5.666666666666667,,,
fkzvuch,,,,3.4444444444444446,2.7777777777777777,6.444444444444445
ovlndtq,2.7777777777777777,2.0,7.0,,,
vjysdme,2.3333333333333335,3.0,7.0,,,
ueiwhyc,,,,5.333333333333333,2.5555555555555554,7.0
xkyejci,3.3333333333333335,2.6666666666666665,6.0,,,
ybwelfj,6.0,4.666666666666667,6.222222222222222,,,
hqcjtae,2.2222222222222223,2.4444444444444446,6.111111111111111,,,
zevwins,4.333333333333333,4.555555555555555,7.0,,,
yvnfhsc,2.0,3.0,7.0,,,
lnbkhse,6.111111111111111,3.3333333333333335,7.0,,,
txjhcfs,4.222222222222222,6.666666666666667,5.666666666666667,,,
bdotqhk,4.333333333333333,5.111111111111111,6.333333333333333,,,
aofvwlu,5.111111111111111,5.777777777777778,6.0,,,
ueapycj,5.222222222222222,4.333333333333333,7.0,,,
kintsyd,,,,3.4444444444444446,4.111111111111111,7.0
