participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
agosyvi,1,2725,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
agosyvi,1,3483,training,bar,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
agosyvi,1,4017,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
agosyvi,1,4245,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
agosyvi,1,2181,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
agosyvi,1,1621,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
agosyvi,1,2702,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
agosyvi,1,1761,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
agosyvi,1,3982,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
agosyvi,1,4420,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
agosyvi,1,2512,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
agosyvi,1,2389,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
agosyvi,1,3854,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
agosyvi,1,3174,training,bar,2,tomato,mushroom,tomato,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
agosyvi,1,2521,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
agosyvi,1,2595,training,bar,7,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
agosyvi,1,1837,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
agosyvi,1,3176,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
agosyvi,1,2782,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
agosyvi,1,2158,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,3
agosyvi,1,2448,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,4
agosyvi,1,1322,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,5
agosyvi,1,2452,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,6
agosyvi,1,2683,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,7
agosyvi,1,2541,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,8
agosyvi,1,1748,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,9
agosyvi,1,2324,training,bar,24,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,0
agosyvi,1,1644,training,bar,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,1
agosyvi,1,1815,training,bar,7,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,2
agosyvi,1,1813,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,0
agosyvi,1,2377,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,1
agosyvi,1,2672,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,2
agosyvi,1,3623,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,3
agosyvi,-1,5000,real,bar,1,corn,tomato,corn,none,"fewer, more",0,FEWER,"icon, color, geo",2,geo,4
agosyvi,1,2753,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,5
agosyvi,1,2923,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,6
agosyvi,1,3518,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,7
agosyvi,1,1839,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,8
agosyvi,1,1792,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,9
agosyvi,1,3991,training,bar,23,carrot,olive,olive,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,0
agosyvi,1,4694,training,bar,7,eggplant,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
agosyvi,1,2948,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
agosyvi,1,2323,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,0
agosyvi,1,4048,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
agosyvi,1,3379,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
agosyvi,1,4408,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,3
agosyvi,1,3908,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,4
agosyvi,1,3987,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,5
agosyvi,-1,5000,real,bar,9,mushroom,corn,mushroom,none,"fewer, more",1,MORE,"icon, geo, color",0,icon,6
agosyvi,1,1906,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,7
agosyvi,1,2739,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,8
agosyvi,1,1556,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,9
agosyvi,1,2967,training,bar,15,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
agosyvi,1,2383,training,bar,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
agosyvi,1,1807,training,bar,0,corn,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
agosyvi,1,2260,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
agosyvi,1,1794,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
agosyvi,1,1727,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
agosyvi,1,2976,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,3
agosyvi,1,2385,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,4
agosyvi,0,2730,real,bar,9,mushroom,corn,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,5
agosyvi,1,2013,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,6
agosyvi,1,4145,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,7
agosyvi,1,1717,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,8
agosyvi,1,2926,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,9
agosyvi,1,2921,training,bar,14,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,0
agosyvi,1,2767,training,bar,15,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,1
agosyvi,1,2437,training,bar,13,olive,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,2
agosyvi,1,3187,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,0
agosyvi,1,2331,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,1
agosyvi,1,3115,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,2
agosyvi,1,2346,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,3
agosyvi,1,2760,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,4
