participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
amuykpz,-1,5000,training,bar,11,tomato,carrot,tomato,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
amuykpz,1,2372,training,bar,10,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
amuykpz,1,3648,training,bar,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
amuykpz,0,2591,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
amuykpz,-1,5000,real,bar,8,celery,corn,corn,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
amuykpz,1,3324,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
amuykpz,-1,5000,real,bar,2,celery,mushroom,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
amuykpz,0,4416,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
amuykpz,1,3038,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
amuykpz,1,3186,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
amuykpz,-1,5000,real,bar,9,mushroom,corn,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
amuykpz,1,2183,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
amuykpz,1,3764,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
amuykpz,1,3302,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
amuykpz,1,2600,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
amuykpz,-1,5000,training,bar,0,corn,carrot,carrot,none,"more, fewer",0,MORE,"geo, color, icon",1,color,2
amuykpz,-1,5000,real,bar,9,mushroom,corn,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",1,color,0
amuykpz,1,4362,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,1
amuykpz,1,3978,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
amuykpz,1,2920,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,3
amuykpz,1,2755,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,4
amuykpz,1,3875,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,5
amuykpz,1,3670,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,6
amuykpz,1,2639,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,7
amuykpz,1,2296,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,8
amuykpz,1,3911,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,9
amuykpz,1,3965,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
amuykpz,1,3875,training,bar,10,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
amuykpz,1,3896,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
amuykpz,1,3926,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
amuykpz,0,1380,real,bar,7,corn,mushroom,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
amuykpz,1,3197,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
amuykpz,1,3128,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,3
amuykpz,1,4072,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,4
amuykpz,1,3629,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,5
amuykpz,1,4481,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,6
amuykpz,0,2510,real,bar,5,olive,celery,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,7
amuykpz,1,2972,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,8
amuykpz,1,4461,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,9
amuykpz,0,4028,training,bar,27,corn,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
amuykpz,1,4043,training,bar,0,corn,carrot,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
amuykpz,1,3023,training,bar,0,corn,carrot,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
amuykpz,1,3506,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
amuykpz,1,4109,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
amuykpz,0,4042,real,bar,3,corn,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
amuykpz,-1,5000,real,bar,4,mushroom,carrot,mushroom,none,"more, fewer",1,FEWER,"color, geo, icon",0,color,3
amuykpz,1,3505,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,4
amuykpz,1,4153,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,5
amuykpz,1,2351,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,6
amuykpz,1,2298,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,7
amuykpz,1,2469,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,8
amuykpz,1,2047,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,9
amuykpz,1,3261,training,bar,25,corn,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
amuykpz,1,3321,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
amuykpz,1,2393,training,bar,20,eggplant,tomato,tomato,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
amuykpz,-1,5000,real,bar,6,mushroom,olive,olive,none,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
amuykpz,0,2904,real,bar,8,celery,corn,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
