participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
bdotqhk,1,3585,training,bar,23,carrot,olive,olive,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
bdotqhk,1,2868,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
bdotqhk,1,2546,training,bar,17,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
bdotqhk,1,3837,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
bdotqhk,1,2001,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
bdotqhk,1,1977,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
bdotqhk,1,1689,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
bdotqhk,1,2877,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
bdotqhk,1,2080,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
bdotqhk,1,2688,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
bdotqhk,1,2338,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
bdotqhk,1,1885,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
bdotqhk,1,921,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
bdotqhk,1,1745,training,bar,7,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
bdotqhk,1,1386,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
bdotqhk,1,1621,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
bdotqhk,1,1149,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
bdotqhk,1,883,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
bdotqhk,1,2356,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
bdotqhk,1,2650,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,3
bdotqhk,1,1457,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,4
bdotqhk,1,1960,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,5
bdotqhk,1,1278,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,6
bdotqhk,1,1610,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,7
bdotqhk,1,3473,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,8
bdotqhk,1,1226,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,9
bdotqhk,1,3569,training,bar,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
bdotqhk,1,2411,training,bar,14,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
bdotqhk,1,3089,training,bar,7,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
bdotqhk,1,1594,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
bdotqhk,1,1650,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
bdotqhk,1,1722,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
bdotqhk,1,1955,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,3
bdotqhk,1,901,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,4
bdotqhk,1,1379,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,5
bdotqhk,1,1613,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,6
bdotqhk,1,2137,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,7
