participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
gmsjizx,0,2264,training,bar,13,olive,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
gmsjizx,0,2915,training,bar,26,mushroom,olive,olive,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
gmsjizx,1,3121,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
gmsjizx,0,1668,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
gmsjizx,1,2758,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
gmsjizx,1,3313,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
gmsjizx,1,1663,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
gmsjizx,1,2784,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
gmsjizx,1,1495,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
gmsjizx,1,2716,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
gmsjizx,0,1945,real,bar,5,olive,celery,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
gmsjizx,0,1640,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
gmsjizx,0,2638,real,bar,1,corn,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
gmsjizx,1,2395,training,bar,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
gmsjizx,1,1321,training,bar,20,eggplant,tomato,eggplant,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
gmsjizx,1,2501,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
gmsjizx,0,2487,real,bar,2,celery,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
gmsjizx,1,2514,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
gmsjizx,0,3029,real,bar,5,olive,celery,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
gmsjizx,0,2764,real,bar,8,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
gmsjizx,1,4828,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
gmsjizx,1,2114,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,5
gmsjizx,1,3408,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,6
gmsjizx,1,4124,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,7
gmsjizx,1,3595,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,8
gmsjizx,1,4419,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,9
gmsjizx,1,1449,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,0
gmsjizx,1,2874,training,bar,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,1
gmsjizx,1,2784,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,2
gmsjizx,1,1353,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,0
gmsjizx,1,2032,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,1
gmsjizx,1,2278,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,2
gmsjizx,1,1385,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,3
gmsjizx,1,3444,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,4
gmsjizx,1,1781,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,5
gmsjizx,1,2660,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,6
gmsjizx,0,4191,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,7
gmsjizx,1,2405,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,8
gmsjizx,1,2214,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,9
