participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
hfksgdu,-1,5000,training,pie,23,olive,carrot,carrot,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
hfksgdu,1,197,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
hfksgdu,0,36,training,pie,21,eggplant,mushroom,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
hfksgdu,1,428,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
hfksgdu,0,607,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
hfksgdu,0,449,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
hfksgdu,1,120,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
hfksgdu,1,549,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
hfksgdu,0,458,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
hfksgdu,0,37,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
hfksgdu,1,143,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
hfksgdu,1,170,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
hfksgdu,0,516,real,pie,3,olive,corn,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
hfksgdu,0,363,training,pie,15,eggplant,tomato,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
hfksgdu,1,290,training,pie,1,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
hfksgdu,1,586,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
hfksgdu,0,263,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
