participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
idupafk,0,928,training,pie,24,mushroom,celery,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,0
idupafk,1,2921,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
idupafk,1,3793,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
idupafk,1,3000,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
idupafk,1,2794,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
idupafk,1,3985,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
idupafk,1,2377,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,3
idupafk,1,2577,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,4
idupafk,1,2801,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,5
idupafk,1,2593,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,6
idupafk,1,2945,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
idupafk,1,4385,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
idupafk,1,2761,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
idupafk,1,2975,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
idupafk,1,2169,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
idupafk,1,1753,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
idupafk,-1,5000,real,pie,4,carrot,mushroom,carrot,none,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
idupafk,1,3488,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
idupafk,1,2897,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
idupafk,1,3545,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,3
idupafk,0,2489,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,4
idupafk,1,2271,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,5
idupafk,1,3360,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,6
idupafk,1,1784,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,7
idupafk,1,2369,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,8
idupafk,1,1600,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,9
idupafk,1,1743,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
idupafk,-1,5000,training,pie,8,olive,eggplant,eggplant,none,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
idupafk,1,2112,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
idupafk,1,2744,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
idupafk,1,3817,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
idupafk,1,3264,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
idupafk,1,1472,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,3
idupafk,1,2114,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,4
idupafk,1,3297,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,5
idupafk,1,4641,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,6
idupafk,1,3040,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,7
idupafk,1,1513,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,8
idupafk,1,3513,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,9
idupafk,1,3809,training,pie,16,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,0
idupafk,1,2664,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,1
idupafk,1,2792,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,2
idupafk,1,4322,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,0
idupafk,1,3456,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,1
idupafk,0,3289,real,pie,3,olive,corn,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,2
idupafk,1,4096,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,3
idupafk,1,4218,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,4
idupafk,1,2848,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,5
idupafk,1,3081,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,6
idupafk,1,2407,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,7
idupafk,1,1344,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,8
idupafk,0,1777,real,pie,8,corn,celery,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,9
idupafk,1,4841,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,0
idupafk,1,2200,training,pie,13,carrot,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,1
idupafk,1,1840,training,pie,6,celery,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,2
idupafk,1,5001,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,0
idupafk,1,1559,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,1
idupafk,1,1648,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,2
idupafk,1,3161,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,3
idupafk,1,3257,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,4
idupafk,1,3073,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,5
idupafk,1,4585,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,6
idupafk,1,3552,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,7
idupafk,1,1441,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,8
idupafk,1,2744,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,9
idupafk,1,3609,training,pie,21,eggplant,mushroom,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",2,icon,0
idupafk,-1,5000,training,pie,8,olive,eggplant,olive,none,"more, fewer",1,FEWER,"geo, color, icon",2,icon,1
idupafk,1,2200,training,pie,26,olive,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,2
idupafk,1,3280,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",2,icon,0
idupafk,1,1904,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,1
idupafk,0,1721,real,pie,9,corn,mushroom,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,2
idupafk,0,1952,real,pie,3,olive,corn,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,3
idupafk,1,1296,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",2,icon,4
idupafk,1,3913,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",2,icon,5
idupafk,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"more, fewer",1,FEWER,"geo, color, icon",2,icon,6
idupafk,1,4113,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,7
idupafk,1,1200,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,8
idupafk,1,2569,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,9
