participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
iocgejy,1,2369,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
iocgejy,1,2101,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
iocgejy,1,1309,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
iocgejy,1,4804,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
iocgejy,1,3663,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
iocgejy,1,2669,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
iocgejy,0,1931,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
iocgejy,0,2574,real,pie,4,carrot,mushroom,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
iocgejy,1,2682,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
iocgejy,1,2644,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
iocgejy,1,2048,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
iocgejy,1,2803,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
iocgejy,1,1435,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
iocgejy,1,4147,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
iocgejy,1,4415,training,pie,22,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
iocgejy,1,4792,training,pie,27,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
iocgejy,1,2497,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
iocgejy,1,2258,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
iocgejy,1,4957,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
iocgejy,1,2547,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
iocgejy,1,4424,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
iocgejy,1,3454,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,5
iocgejy,1,3784,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,6
iocgejy,1,2341,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,7
iocgejy,-1,5000,real,pie,5,celery,olive,celery,none,"more, fewer",0,MORE,"geo, icon, color",1,icon,8
iocgejy,1,2159,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,9
iocgejy,0,3357,training,pie,11,carrot,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,0
iocgejy,1,4979,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,1
iocgejy,-1,5000,training,pie,27,corn,olive,corn,none,"more, fewer",0,MORE,"geo, icon, color",2,color,2
