participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
jqulntz,-1,5000,training,pie,17,mushroom,corn,corn,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
jqulntz,1,2477,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
jqulntz,1,2682,training,pie,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
jqulntz,1,2626,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
jqulntz,1,3849,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
jqulntz,1,3042,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
jqulntz,1,2744,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
jqulntz,0,1992,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
jqulntz,1,2576,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
jqulntz,1,2139,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
jqulntz,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
jqulntz,0,2931,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
jqulntz,1,3591,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
jqulntz,1,4084,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
jqulntz,1,2541,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
jqulntz,1,3337,training,pie,21,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
jqulntz,1,2500,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
jqulntz,1,1878,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
jqulntz,1,2707,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
jqulntz,1,2262,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
jqulntz,1,2784,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
jqulntz,1,3676,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
jqulntz,0,2635,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
jqulntz,1,2674,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
jqulntz,1,3156,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
jqulntz,1,2704,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
jqulntz,1,3627,training,pie,10,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
jqulntz,1,2288,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
jqulntz,1,3837,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
jqulntz,1,2759,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
jqulntz,1,1338,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
jqulntz,1,4176,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
jqulntz,1,3449,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
jqulntz,1,3957,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
jqulntz,1,2283,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
jqulntz,1,2308,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
jqulntz,0,4851,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
jqulntz,1,2328,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,8
jqulntz,1,2813,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,9
jqulntz,1,4541,training,pie,23,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,0
jqulntz,1,3596,training,pie,7,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,1
jqulntz,1,3921,training,pie,27,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,2
jqulntz,1,2879,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,0
jqulntz,1,2228,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,1
jqulntz,1,3743,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,2
jqulntz,1,3950,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,3
jqulntz,1,1549,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,4
jqulntz,1,1056,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,5
jqulntz,0,3280,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,6
jqulntz,1,4180,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,7
jqulntz,1,2513,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,8
jqulntz,1,2526,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,9
jqulntz,1,3535,training,pie,24,mushroom,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",1,icon,0
jqulntz,1,2087,training,pie,25,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",1,icon,1
jqulntz,1,3788,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,2
jqulntz,1,1779,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,0
jqulntz,1,1539,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,1
jqulntz,1,3205,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,2
jqulntz,1,3986,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,3
jqulntz,1,3255,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",1,icon,4
jqulntz,1,2705,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",1,icon,5
jqulntz,0,3932,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,6
jqulntz,1,3195,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",1,icon,7
jqulntz,0,4234,real,pie,4,carrot,mushroom,carrot,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",1,icon,8
jqulntz,0,2730,real,pie,3,olive,corn,corn,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,9
jqulntz,1,3563,training,pie,3,celery,carrot,celery,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",2,color,0
jqulntz,-1,5000,training,pie,13,carrot,olive,carrot,none,"fewer, more",1,MORE,"geo, icon, color",2,color,1
jqulntz,1,1764,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",2,color,2
jqulntz,1,3095,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",2,color,0
jqulntz,1,1396,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",2,color,1
jqulntz,1,2251,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",2,color,2
jqulntz,1,2324,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",2,color,3
jqulntz,1,2509,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",2,color,4
jqulntz,1,3256,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",2,color,5
jqulntz,1,2270,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",2,color,6
jqulntz,0,2897,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",2,color,7
jqulntz,1,3402,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",2,color,8
jqulntz,1,3417,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",2,color,9
