participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
jzndiye,0,3448,training,pie,6,celery,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
jzndiye,1,3712,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
jzndiye,1,2912,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
jzndiye,0,4208,real,pie,1,tomato,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
jzndiye,0,3087,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
jzndiye,1,3354,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
jzndiye,1,4233,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
jzndiye,1,3425,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
jzndiye,1,3058,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
jzndiye,1,4161,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
jzndiye,1,4302,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
jzndiye,-1,5000,real,pie,9,corn,mushroom,corn,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
jzndiye,1,3760,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
jzndiye,1,4450,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
jzndiye,1,3057,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
jzndiye,1,4439,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
jzndiye,1,4393,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
jzndiye,1,4448,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
jzndiye,1,4881,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
jzndiye,1,4977,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
jzndiye,1,4600,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
jzndiye,1,2601,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
jzndiye,1,2604,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
jzndiye,1,3703,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
jzndiye,1,1865,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
jzndiye,1,3285,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
jzndiye,1,3064,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
jzndiye,0,3906,training,pie,0,carrot,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
jzndiye,1,3448,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
jzndiye,1,3730,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
jzndiye,1,4113,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
jzndiye,1,1513,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
jzndiye,1,1488,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
jzndiye,1,3407,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
jzndiye,1,2282,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
jzndiye,0,2573,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,6
jzndiye,1,2327,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,7
jzndiye,1,4589,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,8
jzndiye,1,1743,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,9
jzndiye,1,3504,training,pie,4,carrot,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,0
jzndiye,1,2832,training,pie,5,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,1
jzndiye,1,2553,training,pie,15,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,2
jzndiye,1,1816,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,0
jzndiye,1,3376,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,1
jzndiye,1,2426,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,2
jzndiye,1,3600,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,3
jzndiye,1,2038,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,4
jzndiye,1,2512,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,5
jzndiye,1,3161,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,6
jzndiye,1,2464,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,7
jzndiye,1,2841,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,8
jzndiye,1,1272,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,9
jzndiye,1,2328,training,pie,15,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,0
jzndiye,1,4315,training,pie,0,carrot,corn,carrot,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,1
jzndiye,1,2388,training,pie,6,celery,mushroom,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,2
jzndiye,1,2856,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,0
jzndiye,0,1416,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,1
jzndiye,1,3161,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,2
jzndiye,1,2825,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,3
jzndiye,1,1663,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,4
jzndiye,1,2064,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,5
jzndiye,1,1937,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,6
jzndiye,0,3617,real,pie,4,carrot,mushroom,carrot,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,7
jzndiye,-1,5000,real,pie,9,corn,mushroom,mushroom,none,"fewer, more",1,MORE,"color, geo, icon",1,geo,8
jzndiye,1,3950,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,9
jzndiye,1,3761,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",2,icon,0
jzndiye,1,3193,training,pie,12,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",2,icon,1
jzndiye,1,3224,training,pie,19,eggplant,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",2,icon,2
jzndiye,1,3672,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",2,icon,0
jzndiye,0,1209,real,pie,8,corn,celery,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",2,icon,1
jzndiye,1,4297,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",2,icon,2
