participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
kngytfo,-1,5000,training,bar,2,tomato,mushroom,tomato,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
kngytfo,1,3529,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
kngytfo,0,2870,training,bar,6,celery,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
kngytfo,1,3609,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
kngytfo,-1,5000,real,bar,2,celery,mushroom,celery,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
kngytfo,1,3289,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
kngytfo,1,3468,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
kngytfo,1,2122,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
kngytfo,1,4753,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
kngytfo,1,3253,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
kngytfo,1,3326,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
kngytfo,1,3110,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
kngytfo,1,2988,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
kngytfo,1,3070,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
kngytfo,1,3208,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
kngytfo,1,3285,training,bar,7,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
kngytfo,1,3446,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
kngytfo,1,1752,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
kngytfo,1,1744,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
kngytfo,0,3487,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,3
kngytfo,1,3038,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,4
kngytfo,1,1852,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,5
kngytfo,1,2938,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,6
kngytfo,1,1949,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,7
kngytfo,1,2534,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,8
kngytfo,1,3043,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,9
kngytfo,1,2577,training,bar,10,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
kngytfo,1,2318,training,bar,23,carrot,olive,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
kngytfo,1,2684,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
kngytfo,1,1828,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
kngytfo,1,1760,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
kngytfo,0,4461,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
kngytfo,1,2108,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,3
kngytfo,1,3782,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,4
kngytfo,1,2497,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,5
kngytfo,1,3176,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,6
kngytfo,1,4194,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,7
kngytfo,1,2545,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,8
kngytfo,1,2170,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,9
