participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
lzfckxw,1,3426,training,bar,17,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
lzfckxw,1,1405,training,bar,27,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
lzfckxw,1,923,training,bar,27,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
lzfckxw,0,1161,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
lzfckxw,1,3564,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
lzfckxw,1,1938,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
lzfckxw,1,1386,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
lzfckxw,1,3024,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
lzfckxw,1,2165,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
lzfckxw,1,1494,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
lzfckxw,1,3015,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
lzfckxw,1,1349,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
lzfckxw,1,1389,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
lzfckxw,1,3114,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
lzfckxw,1,1933,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
lzfckxw,1,2725,training,bar,10,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
lzfckxw,0,4111,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,0
lzfckxw,1,1926,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
lzfckxw,1,1036,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
lzfckxw,0,1577,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,3
lzfckxw,1,1099,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,4
lzfckxw,1,1732,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,5
lzfckxw,1,2852,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,6
lzfckxw,-1,5000,real,bar,2,celery,mushroom,mushroom,none,"more, fewer",0,MORE,"icon, color, geo",1,color,7
lzfckxw,1,1154,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,8
lzfckxw,1,953,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,9
lzfckxw,1,1023,training,bar,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
lzfckxw,0,384,training,bar,17,corn,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
lzfckxw,1,1547,training,bar,23,carrot,olive,olive,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
lzfckxw,1,1720,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
lzfckxw,1,1077,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
lzfckxw,1,2479,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
lzfckxw,1,1208,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,3
lzfckxw,1,2471,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,4
lzfckxw,1,1282,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,5
lzfckxw,1,1615,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,6
lzfckxw,0,1375,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,7
lzfckxw,1,1789,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,8
lzfckxw,1,2014,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,9
lzfckxw,1,2358,training,bar,8,olive,eggplant,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,0
lzfckxw,0,4328,training,bar,27,corn,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,1
lzfckxw,0,3591,training,bar,9,mushroom,eggplant,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,2
lzfckxw,1,184,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,0
lzfckxw,1,395,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,1
lzfckxw,0,48,real,bar,8,celery,corn,celery,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,2
lzfckxw,1,2,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,3
lzfckxw,1,32,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,4
lzfckxw,0,6,real,bar,0,eggplant,corn,eggplant,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,5
lzfckxw,1,23,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,6
lzfckxw,1,104,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,7
lzfckxw,1,1,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,8
lzfckxw,0,1,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,9
lzfckxw,1,80,training,bar,0,corn,carrot,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,0
lzfckxw,1,110,training,bar,1,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,1
lzfckxw,1,47,training,bar,22,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,2
lzfckxw,1,91,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,0
lzfckxw,1,1,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,1
lzfckxw,0,37,real,bar,8,celery,corn,celery,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,2
lzfckxw,1,46,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,3
lzfckxw,0,163,real,bar,0,eggplant,corn,eggplant,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,4
lzfckxw,1,3,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,5
lzfckxw,1,1,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,6
lzfckxw,1,37,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,7
lzfckxw,1,64,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,8
lzfckxw,1,24,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,9
lzfckxw,0,37,training,bar,11,tomato,carrot,carrot,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,0
lzfckxw,0,15,training,bar,21,mushroom,eggplant,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,1
lzfckxw,1,120,training,bar,23,carrot,olive,carrot,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,2
lzfckxw,0,18,real,bar,1,corn,tomato,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,0
lzfckxw,1,7,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,1
lzfckxw,0,70,real,bar,6,mushroom,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,2
lzfckxw,0,44,real,bar,2,celery,mushroom,celery,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,3
lzfckxw,1,1,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,4
lzfckxw,0,9,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,5
lzfckxw,1,73,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,6
lzfckxw,1,58,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,7
lzfckxw,1,135,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,8
lzfckxw,1,62,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,9
