participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
nbmsjcx,1,3051,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
nbmsjcx,-1,5000,training,pie,15,eggplant,tomato,tomato,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
nbmsjcx,0,2584,training,pie,22,mushroom,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
nbmsjcx,-1,5000,real,pie,0,eggplant,corn,corn,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
nbmsjcx,1,3565,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
nbmsjcx,1,1449,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
nbmsjcx,1,3444,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
nbmsjcx,1,2127,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
nbmsjcx,1,2152,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
nbmsjcx,1,2599,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
nbmsjcx,1,2076,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
nbmsjcx,1,2486,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
nbmsjcx,1,2317,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
nbmsjcx,1,4176,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
nbmsjcx,-1,5000,training,pie,28,celery,mushroom,mushroom,none,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
nbmsjcx,1,3685,training,pie,12,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
nbmsjcx,1,2012,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
nbmsjcx,1,3725,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
nbmsjcx,1,1759,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
nbmsjcx,1,2578,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
