participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ohqrfkd,1,2161,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
ohqrfkd,1,1573,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
ohqrfkd,0,657,training,pie,25,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
ohqrfkd,1,4769,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
ohqrfkd,0,944,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
ohqrfkd,1,2350,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
ohqrfkd,0,1811,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
ohqrfkd,1,2192,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
ohqrfkd,1,1641,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
ohqrfkd,1,1334,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
ohqrfkd,1,1148,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
ohqrfkd,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
ohqrfkd,1,1146,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
ohqrfkd,1,2802,training,pie,1,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
ohqrfkd,1,1042,training,pie,28,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
ohqrfkd,1,3129,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
ohqrfkd,0,1483,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
ohqrfkd,1,2738,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
ohqrfkd,1,2091,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
ohqrfkd,1,2986,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
ohqrfkd,1,1319,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
ohqrfkd,1,1101,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
ohqrfkd,1,2077,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
ohqrfkd,0,2180,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
ohqrfkd,1,2957,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
ohqrfkd,1,2048,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
ohqrfkd,1,1471,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
ohqrfkd,0,1333,training,pie,21,eggplant,mushroom,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
ohqrfkd,1,2447,training,pie,26,olive,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
ohqrfkd,1,1116,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
ohqrfkd,1,1554,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
ohqrfkd,1,2209,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
ohqrfkd,1,3135,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
ohqrfkd,1,1466,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
ohqrfkd,1,1266,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
ohqrfkd,0,1317,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
ohqrfkd,1,2478,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
ohqrfkd,1,1939,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,8
ohqrfkd,0,1414,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,9
ohqrfkd,1,3274,training,pie,13,carrot,olive,carrot,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,0
ohqrfkd,1,887,training,pie,11,carrot,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,1
ohqrfkd,-1,5000,training,pie,3,celery,carrot,celery,none,"fewer, more",1,MORE,"color, icon, geo",0,color,2
ohqrfkd,1,1989,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,0
ohqrfkd,0,1983,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,1
ohqrfkd,1,1325,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,2
ohqrfkd,1,2602,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,3
ohqrfkd,0,1316,real,pie,7,mushroom,corn,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,4
ohqrfkd,0,1950,real,pie,1,tomato,corn,tomato,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,5
ohqrfkd,1,1961,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,6
ohqrfkd,1,2256,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,7
ohqrfkd,1,1800,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,8
ohqrfkd,1,818,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,9
ohqrfkd,1,2014,training,pie,23,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,0
ohqrfkd,1,1751,training,pie,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,1
ohqrfkd,0,988,training,pie,18,eggplant,corn,eggplant,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,2
ohqrfkd,1,1139,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,0
