participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ovlndtq,1,3342,training,bar,17,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
ovlndtq,1,3938,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
ovlndtq,1,2504,training,bar,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
ovlndtq,1,2596,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
ovlndtq,1,1590,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
ovlndtq,1,2069,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
ovlndtq,1,2279,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
ovlndtq,1,2951,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
ovlndtq,1,1942,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
ovlndtq,1,2750,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
ovlndtq,1,2015,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
ovlndtq,1,2046,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
ovlndtq,1,1895,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
ovlndtq,1,1674,training,bar,24,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
ovlndtq,1,1031,training,bar,18,corn,eggplant,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
ovlndtq,1,1929,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
ovlndtq,0,1090,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
ovlndtq,1,2036,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
ovlndtq,1,2446,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
ovlndtq,1,2048,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,3
ovlndtq,0,2262,real,bar,8,celery,corn,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,4
