participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
pjdcysx,1,3832,training,bar,20,eggplant,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
pjdcysx,-1,5000,training,bar,9,mushroom,eggplant,eggplant,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
pjdcysx,0,3,training,bar,16,mushroom,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
pjdcysx,0,995,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
pjdcysx,1,3965,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
pjdcysx,1,1,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
pjdcysx,1,2862,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
pjdcysx,1,3006,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
pjdcysx,1,2182,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
pjdcysx,1,3212,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
pjdcysx,1,3680,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
pjdcysx,1,3778,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
pjdcysx,1,2385,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
pjdcysx,1,4235,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
pjdcysx,1,4805,training,bar,23,carrot,olive,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
pjdcysx,1,2514,training,bar,21,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
pjdcysx,1,2686,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
pjdcysx,1,4468,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
pjdcysx,1,4247,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
pjdcysx,1,3582,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
pjdcysx,1,1807,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
pjdcysx,1,2165,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
pjdcysx,1,1870,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
pjdcysx,1,2705,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
pjdcysx,1,4215,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
pjdcysx,0,3203,real,bar,3,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
pjdcysx,1,4988,training,bar,13,olive,carrot,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
pjdcysx,0,3546,training,bar,19,carrot,eggplant,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
