participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
rhqamfz,-1,5000,training,bar,17,corn,mushroom,mushroom,none,"more, fewer",0,MORE,"color, icon, geo",0,color,0
rhqamfz,1,3273,training,bar,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
rhqamfz,1,2792,training,bar,24,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
rhqamfz,1,3898,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
rhqamfz,1,2258,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
rhqamfz,1,1393,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
rhqamfz,1,2823,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,3
rhqamfz,0,1486,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,4
rhqamfz,1,3091,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,5
rhqamfz,1,2942,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,6
rhqamfz,1,2045,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,7
rhqamfz,1,2652,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
rhqamfz,1,3303,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,9
rhqamfz,1,2470,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
rhqamfz,0,2909,training,bar,25,corn,eggplant,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
rhqamfz,1,3403,training,bar,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
rhqamfz,1,2173,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
rhqamfz,0,2403,real,bar,2,celery,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
rhqamfz,1,3333,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
rhqamfz,1,1393,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
rhqamfz,1,3548,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
rhqamfz,0,3579,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
rhqamfz,1,3922,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
rhqamfz,1,3363,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
rhqamfz,1,3348,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
rhqamfz,1,4473,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
rhqamfz,1,1848,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
rhqamfz,1,1853,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
rhqamfz,1,1735,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
rhqamfz,0,1071,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
rhqamfz,1,3459,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
rhqamfz,1,2438,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
rhqamfz,1,2493,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,3
rhqamfz,1,906,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,4
rhqamfz,0,1872,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,5
rhqamfz,0,1718,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,6
rhqamfz,0,1631,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,7
rhqamfz,1,1412,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,8
rhqamfz,1,2026,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,9
rhqamfz,1,3990,training,bar,17,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,0
rhqamfz,1,2469,training,bar,0,corn,carrot,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,1
rhqamfz,1,3018,training,bar,11,tomato,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,2
rhqamfz,0,2565,real,bar,3,corn,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,0
rhqamfz,1,2189,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,1
rhqamfz,1,2061,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,2
rhqamfz,0,2917,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,3
rhqamfz,1,2897,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,4
rhqamfz,1,1942,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,5
rhqamfz,1,1714,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,6
rhqamfz,1,2150,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,7
rhqamfz,1,2459,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,8
rhqamfz,1,1765,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,9
rhqamfz,1,4168,training,bar,1,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,0
rhqamfz,1,2496,training,bar,26,mushroom,olive,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,1
rhqamfz,1,2793,training,bar,8,olive,eggplant,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,2
rhqamfz,1,3541,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,0
rhqamfz,1,2313,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,1
rhqamfz,1,2317,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,2
rhqamfz,1,1255,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,3
rhqamfz,1,1881,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,4
rhqamfz,1,1026,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,5
rhqamfz,1,1324,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,6
rhqamfz,1,1889,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,7
rhqamfz,1,2439,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,8
rhqamfz,1,1190,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,9
rhqamfz,1,1452,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,0
rhqamfz,1,1578,training,bar,26,mushroom,olive,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,1
rhqamfz,1,1464,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,2
rhqamfz,0,1624,real,bar,0,eggplant,corn,eggplant,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,0
rhqamfz,1,993,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,1
rhqamfz,1,1944,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,2
rhqamfz,1,1655,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,3
rhqamfz,0,1216,real,bar,5,olive,celery,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,4
