participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ribolpj,1,3315,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
ribolpj,0,3053,training,pie,20,tomato,eggplant,eggplant,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
ribolpj,1,3516,training,pie,28,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
ribolpj,1,1402,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
ribolpj,1,1413,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
ribolpj,0,1549,real,pie,1,tomato,corn,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
ribolpj,1,2435,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
ribolpj,1,2166,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
ribolpj,1,2056,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
ribolpj,1,1801,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
ribolpj,1,2000,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
ribolpj,1,1694,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
ribolpj,1,2492,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
ribolpj,1,2985,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,0
