participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ueapycj,0,447,training,bar,27,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
ueapycj,0,253,training,bar,3,carrot,celery,carrot,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
ueapycj,1,2122,training,bar,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
ueapycj,1,1804,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
ueapycj,-1,5000,real,bar,2,celery,mushroom,celery,none,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
ueapycj,1,2969,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
ueapycj,1,1256,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,3
ueapycj,1,3486,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,4
ueapycj,1,1506,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,5
ueapycj,1,2675,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,6
ueapycj,1,1820,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,7
ueapycj,1,1708,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,8
ueapycj,1,1577,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,9
ueapycj,1,1923,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
ueapycj,1,1314,training,bar,28,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
ueapycj,1,2942,training,bar,0,corn,carrot,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
ueapycj,1,3890,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
