participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ueiwhyc,1,4667,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
ueiwhyc,1,1319,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
ueiwhyc,1,1291,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
ueiwhyc,1,1864,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
ueiwhyc,1,3064,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
ueiwhyc,1,2653,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
ueiwhyc,1,4350,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
ueiwhyc,1,2878,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
ueiwhyc,1,2279,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
ueiwhyc,1,3302,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
ueiwhyc,1,4231,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
ueiwhyc,1,2922,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
ueiwhyc,1,3150,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
ueiwhyc,-1,5000,training,pie,28,celery,mushroom,celery,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
ueiwhyc,1,2949,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
ueiwhyc,1,2954,training,pie,9,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
ueiwhyc,1,2469,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
ueiwhyc,1,2300,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
ueiwhyc,1,2327,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
ueiwhyc,1,3733,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
ueiwhyc,1,2295,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
ueiwhyc,1,3578,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
ueiwhyc,-1,5000,real,pie,2,mushroom,celery,celery,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
ueiwhyc,-1,5000,real,pie,3,olive,corn,olive,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
ueiwhyc,0,2159,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
ueiwhyc,1,3307,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
ueiwhyc,1,2233,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
ueiwhyc,1,3287,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
ueiwhyc,1,3703,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
ueiwhyc,1,2261,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
ueiwhyc,1,1560,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
ueiwhyc,1,3570,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
ueiwhyc,1,2236,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
ueiwhyc,1,2755,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
ueiwhyc,1,1970,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
ueiwhyc,1,1664,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,6
ueiwhyc,1,2394,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,7
ueiwhyc,0,4218,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,8
ueiwhyc,1,2910,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,9
ueiwhyc,0,3577,training,pie,4,carrot,celery,celery,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,0
ueiwhyc,0,251,training,pie,16,olive,mushroom,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
ueiwhyc,0,3400,training,pie,4,carrot,celery,celery,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
ueiwhyc,1,2074,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,0
ueiwhyc,1,3753,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
ueiwhyc,1,2779,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
ueiwhyc,1,1224,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,3
ueiwhyc,0,1690,real,pie,7,mushroom,corn,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,4
ueiwhyc,1,2369,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,5
ueiwhyc,1,2763,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,6
ueiwhyc,1,1365,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,7
ueiwhyc,1,1872,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,8
ueiwhyc,1,2076,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,9
ueiwhyc,1,1056,training,pie,15,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
ueiwhyc,1,2777,training,pie,13,carrot,olive,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
ueiwhyc,1,2226,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
ueiwhyc,1,2959,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
ueiwhyc,1,1662,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
ueiwhyc,1,2783,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
ueiwhyc,1,2473,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,3
ueiwhyc,1,2191,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,4
ueiwhyc,1,1398,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,5
ueiwhyc,1,3079,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,6
ueiwhyc,1,2520,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,7
ueiwhyc,1,3900,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,8
