participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
vbmpyoh,1,2934,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
vbmpyoh,1,4126,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
vbmpyoh,-1,5000,training,pie,21,eggplant,mushroom,eggplant,none,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
vbmpyoh,1,2396,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
vbmpyoh,1,1152,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
vbmpyoh,1,1180,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
vbmpyoh,1,1516,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,3
vbmpyoh,1,3434,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,4
vbmpyoh,1,1577,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,5
vbmpyoh,1,2288,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,6
vbmpyoh,1,2053,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,7
vbmpyoh,1,1450,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,8
vbmpyoh,0,1692,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,9
vbmpyoh,1,3928,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
vbmpyoh,1,2342,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
vbmpyoh,1,2138,training,pie,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
vbmpyoh,1,1170,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
vbmpyoh,0,3205,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
vbmpyoh,1,2361,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
vbmpyoh,1,1881,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,3
vbmpyoh,1,1242,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,4
vbmpyoh,1,1773,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,5
vbmpyoh,1,1231,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,6
vbmpyoh,1,1836,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,7
vbmpyoh,1,1108,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,8
vbmpyoh,1,1471,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,9
vbmpyoh,0,1532,training,pie,16,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,0
vbmpyoh,0,1653,training,pie,18,eggplant,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,1
vbmpyoh,1,1843,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,2
vbmpyoh,1,1420,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,0
vbmpyoh,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"fewer, more",0,FEWER,"color, geo, icon",2,icon,1
vbmpyoh,1,1069,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,2
vbmpyoh,0,1653,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,3
vbmpyoh,1,2336,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,4
vbmpyoh,1,1427,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,5
vbmpyoh,0,1802,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,6
vbmpyoh,1,1816,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,7
vbmpyoh,1,2509,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,8
vbmpyoh,1,2724,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,9
vbmpyoh,0,2740,training,pie,13,carrot,olive,carrot,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,0
