participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
vjysdme,0,4090,training,bar,26,mushroom,olive,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
vjysdme,1,1961,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
vjysdme,1,1698,training,bar,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
vjysdme,1,1146,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
vjysdme,1,1969,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
vjysdme,0,1642,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
vjysdme,1,2248,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,3
vjysdme,1,2185,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,4
vjysdme,1,1478,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,5
vjysdme,1,2907,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,6
vjysdme,1,3550,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,7
vjysdme,1,1622,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,8
vjysdme,1,1230,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,9
vjysdme,1,4477,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
vjysdme,1,2188,training,bar,18,corn,eggplant,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
vjysdme,1,4410,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
vjysdme,1,2239,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
vjysdme,1,1949,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
vjysdme,1,1248,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
vjysdme,1,1873,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,3
vjysdme,1,1598,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,4
vjysdme,1,905,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,5
