participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
vlbndmh,-1,5000,training,bar,1,corn,mushroom,corn,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
vlbndmh,1,3125,training,bar,17,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
vlbndmh,1,3496,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
vlbndmh,1,2156,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
vlbndmh,1,2076,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
vlbndmh,1,2311,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
vlbndmh,1,2685,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
vlbndmh,1,3936,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
vlbndmh,1,3276,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
vlbndmh,1,3090,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
vlbndmh,1,3094,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
vlbndmh,1,3720,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
vlbndmh,1,3971,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
vlbndmh,1,2933,training,bar,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
vlbndmh,-1,5000,training,bar,19,carrot,eggplant,eggplant,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
vlbndmh,1,536,training,bar,11,tomato,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
vlbndmh,1,3385,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
vlbndmh,-1,5000,real,bar,5,olive,celery,olive,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
vlbndmh,1,331,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
vlbndmh,1,377,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
vlbndmh,1,438,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
vlbndmh,0,263,real,bar,6,mushroom,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
vlbndmh,0,229,real,bar,1,corn,tomato,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
vlbndmh,1,534,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
vlbndmh,1,426,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
vlbndmh,1,206,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
vlbndmh,0,752,training,bar,17,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
vlbndmh,0,327,training,bar,14,eggplant,tomato,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
vlbndmh,0,280,training,bar,16,mushroom,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
vlbndmh,1,2530,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
vlbndmh,1,2266,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
vlbndmh,1,1238,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
vlbndmh,1,1801,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,3
vlbndmh,1,3111,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,4
vlbndmh,1,2750,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,5
vlbndmh,1,3329,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,6
vlbndmh,1,326,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,7
vlbndmh,1,234,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,8
vlbndmh,0,862,real,bar,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,9
vlbndmh,1,617,training,bar,27,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",0,icon,0
