participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
yxzhbcw,1,2946,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
yxzhbcw,1,3915,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
yxzhbcw,1,2631,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
yxzhbcw,1,3290,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
yxzhbcw,1,2476,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
yxzhbcw,1,2833,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
yxzhbcw,1,2693,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,3
yxzhbcw,1,3448,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,4
yxzhbcw,1,2197,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,5
yxzhbcw,1,2539,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,6
yxzhbcw,1,3712,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,7
yxzhbcw,1,1766,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,8
yxzhbcw,1,3476,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,9
yxzhbcw,1,2745,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
yxzhbcw,1,2506,training,pie,16,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
yxzhbcw,1,1896,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
yxzhbcw,1,4118,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
yxzhbcw,1,3428,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
yxzhbcw,1,2290,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
yxzhbcw,1,2254,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
yxzhbcw,1,2523,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
yxzhbcw,1,1508,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
yxzhbcw,1,3476,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
yxzhbcw,1,2475,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
yxzhbcw,1,2900,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
yxzhbcw,1,2362,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
yxzhbcw,1,1503,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
yxzhbcw,1,1929,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
yxzhbcw,1,1051,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
yxzhbcw,1,1346,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
yxzhbcw,1,1897,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
yxzhbcw,1,1062,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
yxzhbcw,0,3117,real,pie,2,mushroom,celery,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,3
yxzhbcw,1,1788,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,4
yxzhbcw,1,2414,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,5
yxzhbcw,0,1223,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,6
yxzhbcw,1,1865,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,7
yxzhbcw,1,2695,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,8
yxzhbcw,1,2995,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,9
yxzhbcw,1,2321,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
yxzhbcw,1,2988,training,pie,13,carrot,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
yxzhbcw,0,1751,training,pie,8,olive,eggplant,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
yxzhbcw,0,1787,real,pie,5,celery,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
yxzhbcw,1,1829,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
yxzhbcw,0,1896,real,pie,9,corn,mushroom,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
yxzhbcw,1,2206,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,3
yxzhbcw,1,3218,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,4
yxzhbcw,1,2570,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,5
yxzhbcw,1,2398,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,6
yxzhbcw,1,1772,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,7
yxzhbcw,0,2632,real,pie,8,corn,celery,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,8
yxzhbcw,1,2693,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,9
yxzhbcw,1,2165,training,pie,28,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
yxzhbcw,0,1254,training,pie,26,olive,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
yxzhbcw,1,2160,training,pie,27,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
yxzhbcw,1,2052,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
yxzhbcw,1,1533,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
yxzhbcw,1,1299,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
yxzhbcw,1,1601,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,3
yxzhbcw,1,1191,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,4
yxzhbcw,1,1538,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,5
yxzhbcw,1,2243,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,6
yxzhbcw,0,3327,real,pie,7,mushroom,corn,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,7
yxzhbcw,1,1988,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,8
yxzhbcw,1,2290,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,9
yxzhbcw,1,3181,training,pie,8,olive,eggplant,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,0
yxzhbcw,1,1881,training,pie,23,olive,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,1
yxzhbcw,1,2865,training,pie,13,carrot,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,2
yxzhbcw,0,3181,real,pie,2,mushroom,celery,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,0
yxzhbcw,0,3257,real,pie,5,celery,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,1
yxzhbcw,1,2491,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,2
yxzhbcw,1,1772,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,3
yxzhbcw,1,2839,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,4
yxzhbcw,1,3280,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,5
yxzhbcw,1,2725,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,6
yxzhbcw,1,2648,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,7
yxzhbcw,1,3418,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,8
yxzhbcw,1,1642,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,9
