participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
zevwins,0,2609,training,bar,2,tomato,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
zevwins,1,3237,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
zevwins,1,4602,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
zevwins,1,2675,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
zevwins,1,4112,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
zevwins,1,3949,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
zevwins,1,2452,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
zevwins,1,1699,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
zevwins,1,3715,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
zevwins,1,1951,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
zevwins,1,3659,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
zevwins,1,1521,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
zevwins,1,1909,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
zevwins,1,1644,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
zevwins,1,1619,training,bar,27,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
zevwins,1,2703,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
zevwins,1,1771,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
zevwins,1,1965,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
zevwins,1,2583,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
zevwins,1,2477,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
zevwins,1,3393,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
