participant_id,correct_rate_bar_geo,correct_rate_bar_icon,correct_rate_bar_color,correct_rate_pie_geo,correct_rate_pie_icon,correct_rate_pie_color,0,correct_rate_['bar']_geo,correct_rate_['pie']_geo
agosyvi,90.0,95.0,100.0,,,,,90.0,
amuykpz,55.00000000000001,85.0,85.0,,,,,55.00000000000001,
aofvwlu,100.0,85.0,100.0,,,,,100.0,
bdotqhk,100.0,100.0,95.0,,,,,100.0,
bxjlymv,,,,90.0,90.0,85.0,,,90.0
fkzvuch,,,,95.0,90.0,85.0,,,95.0
gmsjizx,65.0,75.0,95.0,,,,,65.0,
hqcjtae,95.0,90.0,100.0,,,,,95.0,
ialmjuh,,,,75.0,90.0,85.0,,,75.0
idupafk,,,,80.0,85.0,100.0,,,80.0
jqulntz,,,,80.0,80.0,90.0,,,80.0
jzndiye,,,,70.0,90.0,95.0,,,70.0
kintsyd,,,,100.0,95.0,100.0,,,100.0
lnbkhse,100.0,100.0,100.0,,,,,100.0,
lzfckxw,75.0,80.0,75.0,,,,,75.0,
nbmsjcx,,,,80.0,85.0,90.0,,,80.0
ohqrfkd,,,,70.0,80.0,75.0,,,70.0
ovlndtq,100.0,90.0,90.0,,,,,100.0,
rhqamfz,60.0,80.0,95.0,,,,,60.0,
ribolpj,,,,90.0,90.0,75.0,,,90.0
txjhcfs,85.0,95.0,95.0,,,,,85.0,
ueapycj,100.0,100.0,95.0,,,,,100.0,
ueiwhyc,,,,100.0,80.0,95.0,,,100.0
vbmpyoh,,,,90.0,80.0,90.0,,,90.0
vjysdme,90.0,95.0,95.0,,,,,90.0,
vlbndmh,70.0,55.00000000000001,70.0,,,,,70.0,
xkyejci,95.0,90.0,100.0,,,,,95.0,
ybwelfj,95.0,90.0,95.0,,,,,95.0,
yvnfhsc,95.0,90.0,100.0,,,,,95.0,
yxzhbcw,,,,85.0,90.0,85.0,,,85.0
zevwins,100.0,95.0,100.0,,,,,100.0,
zntkjpw,,,,70.0,75.0,95.0,,,70.0
agosyvi,90.0,95.0,100.0,,,,,,
amuykpz,55.00000000000001,85.0,85.0,,,,,,
aofvwlu,100.0,85.0,100.0,,,,,,
bdotqhk,100.0,100.0,95.0,,,,,,
bxjlymv,,,,90.0,90.0,85.0,,,
fkzvuch,,,,95.0,90.0,85.0,,,
gmsjizx,65.0,75.0,95.0,,,,,,
hqcjtae,95.0,90.0,100.0,,,,,,
ialmjuh,,,,75.0,90.0,85.0,,,
idupafk,,,,80.0,85.0,100.0,,,
jqulntz,,,,80.0,80.0,90.0,,,
jzndiye,,,,70.0,90.0,95.0,,,
kintsyd,,,,100.0,95.0,100.0,,,
lnbkhse,100.0,100.0,100.0,,,,,,
lzfckxw,75.0,80.0,75.0,,,,,,
nbmsjcx,,,,80.0,85.0,90.0,,,
ohqrfkd,,,,70.0,80.0,75.0,,,
ovlndtq,100.0,90.0,90.0,,,,,,
rhqamfz,60.0,80.0,95.0,,,,,,
ribolpj,,,,90.0,90.0,75.0,,,
txjhcfs,85.0,95.0,95.0,,,,,,
ueapycj,100.0,100.0,95.0,,,,,,
ueiwhyc,,,,100.0,80.0,95.0,,,
vbmpyoh,,,,90.0,80.0,90.0,,,
vjysdme,90.0,95.0,95.0,,,,,,
vlbndmh,70.0,55.00000000000001,70.0,,,,,,
xkyejci,95.0,90.0,100.0,,,,,,
ybwelfj,95.0,90.0,95.0,,,,,,
yvnfhsc,95.0,90.0,100.0,,,,,,
yxzhbcw,,,,85.0,90.0,85.0,,,
zevwins,100.0,95.0,100.0,,,,,,
zntkjpw,,,,70.0,75.0,95.0,,,
agosyvi,90.0,95.0,100.0,,,,,,
amuykpz,55.00000000000001,85.0,85.0,,,,,,
aofvwlu,100.0,85.0,100.0,,,,,,
bdotqhk,100.0,100.0,95.0,,,,,,
bxjlymv,,,,90.0,90.0,85.0,,,
fkzvuch,,,,95.0,90.0,85.0,,,
gmsjizx,65.0,75.0,95.0,,,,,,
hqcjtae,95.0,90.0,100.0,,,,,,
ialmjuh,,,,75.0,90.0,85.0,,,
idupafk,,,,80.0,85.0,100.0,,,
jqulntz,,,,80.0,80.0,90.0,,,
jzndiye,,,,70.0,90.0,95.0,,,
kintsyd,,,,100.0,95.0,100.0,,,
lnbkhse,100.0,100.0,100.0,,,,,,
lzfckxw,75.0,80.0,75.0,,,,,,
nbmsjcx,,,,80.0,85.0,90.0,,,
ohqrfkd,,,,70.0,80.0,75.0,,,
ovlndtq,100.0,90.0,90.0,,,,,,
rhqamfz,60.0,80.0,95.0,,,,,,
ribolpj,,,,90.0,90.0,75.0,,,
txjhcfs,85.0,95.0,95.0,,,,,,
ueapycj,100.0,100.0,95.0,,,,,,
ueiwhyc,,,,100.0,80.0,95.0,,,
vbmpyoh,,,,90.0,80.0,90.0,,,
vjysdme,90.0,95.0,95.0,,,,,,
vlbndmh,70.0,55.00000000000001,70.0,,,,,,
xkyejci,95.0,90.0,100.0,,,,,,
ybwelfj,95.0,90.0,95.0,,,,,,
yvnfhsc,95.0,90.0,100.0,,,,,,
yxzhbcw,,,,85.0,90.0,85.0,,,
zevwins,100.0,95.0,100.0,,,,,,
zntkjpw,,,,70.0,75.0,95.0,,,
