participant_id,previs_bar_geo,previs_bar_icon,previs_bar_color,previs_pie_geo,previs_pie_icon,previs_pie_color
agosyvi,3.888888888888889,5.181818181818182,5.454545454545454,,,
fkzvuch,,,,3.4545454545454546,2.8181818181818183,6.2727272727272725
ovlndtq,2.7777777777777777,2.0,7.0,,,
vjysdme,2.3333333333333335,3.0,7.0,,,
ueiwhyc,,,,5.181818181818182,2.4545454545454546,7.0
xkyejci,3.3333333333333335,2.5454545454545454,6.0,,,
ybwelfj,6.0,4.818181818181818,6.090909090909091,,,
hqcjtae,2.2222222222222223,2.4545454545454546,6.090909090909091,,,
zevwins,4.333333333333333,4.454545454545454,7.0,,,
yvnfhsc,2.0,3.0,7.0,,,
lnbkhse,6.111111111111111,3.727272727272727,7.0,,,
txjhcfs,4.222222222222222,6.7272727272727275,5.363636363636363,,,
bdotqhk,4.333333333333333,5.363636363636363,6.181818181818182,,,
aofvwlu,5.111111111111111,5.636363636363637,5.818181818181818,,,
ueapycj,5.222222222222222,3.909090909090909,7.0,,,
kintsyd,,,,3.727272727272727,4.2727272727272725,6.818181818181818
