participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
agosyvi,-1,5000,real,bar,1,corn,tomato,corn,none,"fewer, more",0,FEWER,"icon, color, geo",2,geo,4
agosyvi,-1,5000,real,bar,9,mushroom,corn,mushroom,none,"fewer, more",1,MORE,"icon, geo, color",0,icon,6
amuykpz,-1,5000,real,bar,8,celery,corn,corn,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
amuykpz,-1,5000,real,bar,2,celery,mushroom,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
amuykpz,-1,5000,real,bar,9,mushroom,corn,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
amuykpz,-1,5000,real,bar,9,mushroom,corn,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",1,color,0
amuykpz,-1,5000,real,bar,4,mushroom,carrot,mushroom,none,"more, fewer",1,FEWER,"color, geo, icon",0,color,3
amuykpz,-1,5000,real,bar,6,mushroom,olive,olive,none,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
amuykpz,-1,5000,real,bar,0,eggplant,corn,eggplant,none,"more, fewer",1,FEWER,"color, geo, icon",2,icon,0
aofvwlu,-1,5000,real,bar,8,celery,corn,corn,none,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
bxjlymv,-1,5000,real,pie,2,mushroom,celery,celery,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
bxjlymv,-1,5000,real,pie,8,corn,celery,celery,none,"fewer, more",0,FEWER,"icon, geo, color",2,color,4
ialmjuh,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
ialmjuh,-1,5000,real,pie,6,olive,mushroom,olive,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
ialmjuh,-1,5000,real,pie,1,tomato,corn,tomato,none,"fewer, more",1,MORE,"icon, geo, color",1,geo,9
idupafk,-1,5000,real,pie,4,carrot,mushroom,carrot,none,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
idupafk,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"more, fewer",1,FEWER,"geo, color, icon",2,icon,6
jqulntz,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
jzndiye,-1,5000,real,pie,9,corn,mushroom,corn,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
jzndiye,-1,5000,real,pie,9,corn,mushroom,mushroom,none,"fewer, more",1,MORE,"color, geo, icon",1,geo,8
jzndiye,-1,5000,real,pie,9,corn,mushroom,mushroom,none,"fewer, more",1,MORE,"color, geo, icon",2,icon,7
kintsyd,-1,5000,real,pie,2,mushroom,celery,mushroom,none,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
lzfckxw,-1,5000,real,bar,2,celery,mushroom,mushroom,none,"more, fewer",0,MORE,"icon, color, geo",1,color,7
nbmsjcx,-1,5000,real,pie,0,eggplant,corn,corn,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
ohqrfkd,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
ribolpj,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"more, fewer",1,FEWER,"icon, geo, color",0,icon,8
ribolpj,-1,5000,real,pie,5,celery,olive,olive,none,"more, fewer",1,FEWER,"icon, geo, color",2,color,8
txjhcfs,-1,5000,real,bar,4,mushroom,carrot,carrot,none,"more, fewer",0,MORE,"color, geo, icon",0,color,7
txjhcfs,-1,5000,real,bar,0,eggplant,corn,corn,none,"more, fewer",0,MORE,"color, geo, icon",1,geo,7
ueapycj,-1,5000,real,bar,2,celery,mushroom,celery,none,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
ueiwhyc,-1,5000,real,pie,2,mushroom,celery,celery,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
ueiwhyc,-1,5000,real,pie,3,olive,corn,olive,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
vbmpyoh,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"fewer, more",0,FEWER,"color, geo, icon",2,icon,1
vlbndmh,-1,5000,real,bar,5,olive,celery,olive,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
xkyejci,-1,5000,real,bar,6,mushroom,olive,mushroom,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
xkyejci,-1,5000,real,bar,5,olive,celery,celery,none,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
ybwelfj,-1,5000,real,bar,5,olive,celery,olive,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
yvnfhsc,-1,5000,real,bar,0,eggplant,corn,eggplant,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
yvnfhsc,-1,5000,real,bar,3,corn,olive,olive,none,"fewer, more",0,FEWER,"icon, color, geo",2,geo,5
yvnfhsc,-1,5000,real,bar,2,celery,mushroom,mushroom,none,"fewer, more",1,MORE,"geo, color, icon",2,icon,7
zntkjpw,-1,5000,real,pie,3,olive,corn,olive,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
