participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
rplmfys,1,4444,training,bar,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
rplmfys,1,4432,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
rplmfys,-1,5000,training,bar,7,eggplant,celery,celery,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
rplmfys,1,1628,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
rplmfys,0,4945,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
rplmfys,-1,5000,real,bar,9,mushroom,corn,mushroom,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
rplmfys,1,3645,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
rplmfys,0,2646,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
rplmfys,-1,5000,real,bar,0,eggplant,corn,corn,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
rplmfys,1,3475,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
rplmfys,1,2434,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
rplmfys,1,2698,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
rplmfys,1,3827,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
rplmfys,1,3232,training,bar,23,carrot,olive,olive,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
rplmfys,1,4504,training,bar,7,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
rplmfys,1,3315,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
rplmfys,0,416,real,bar,1,corn,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,0
rplmfys,1,238,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
rplmfys,1,223,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
rplmfys,0,229,real,bar,5,olive,celery,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,3
rplmfys,1,204,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,4
rplmfys,0,218,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,5
rplmfys,0,194,real,bar,8,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,6
rplmfys,0,194,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,7
rplmfys,1,208,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,8
rplmfys,0,242,real,bar,2,celery,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,9
rplmfys,1,3834,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
rplmfys,1,4268,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
rplmfys,1,4438,training,bar,26,mushroom,olive,olive,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
rplmfys,1,788,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
rplmfys,0,218,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
rplmfys,0,273,real,bar,5,olive,celery,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
rplmfys,0,268,real,bar,2,celery,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,3
rplmfys,0,289,real,bar,1,corn,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,4
rplmfys,1,178,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,5
rplmfys,1,243,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,6
rplmfys,0,148,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,7
rplmfys,0,176,real,bar,8,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,8
rplmfys,1,244,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,9
rplmfys,-1,5000,training,bar,23,carrot,olive,carrot,none,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
rplmfys,1,3390,training,bar,17,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
rplmfys,1,3951,training,bar,16,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
rplmfys,1,2595,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
rplmfys,1,2700,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
rplmfys,1,1545,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
rplmfys,1,2627,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,3
rplmfys,0,2220,real,bar,1,corn,tomato,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,4
rplmfys,1,2517,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,5
rplmfys,1,2163,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,6
rplmfys,0,130,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,7
rplmfys,0,162,real,bar,8,celery,corn,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,8
rplmfys,1,114,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,9
rplmfys,1,2030,training,bar,28,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
rplmfys,0,2468,training,bar,22,corn,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
rplmfys,1,180,training,bar,0,corn,carrot,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
rplmfys,0,277,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
rplmfys,1,89,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
rplmfys,0,154,real,bar,9,mushroom,corn,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
rplmfys,1,141,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,3
