participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
wnjrgav,1,3523,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
wnjrgav,1,1811,training,pie,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
wnjrgav,1,1535,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
wnjrgav,1,1843,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
wnjrgav,1,2232,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
wnjrgav,0,1142,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
wnjrgav,0,2328,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
wnjrgav,1,1231,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
wnjrgav,0,2101,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
wnjrgav,1,2856,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
wnjrgav,1,2233,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
wnjrgav,1,1541,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
wnjrgav,1,2461,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
wnjrgav,1,1590,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
wnjrgav,1,3720,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
wnjrgav,1,3978,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
wnjrgav,1,2641,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
wnjrgav,1,3511,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
wnjrgav,1,3548,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
wnjrgav,0,772,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
wnjrgav,1,247,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
wnjrgav,1,200,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
wnjrgav,1,181,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
wnjrgav,0,157,real,pie,1,tomato,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
wnjrgav,1,185,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
wnjrgav,0,195,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
